Date,HomeTeam,AwayTeam,B365>2.5,B365<2.5
27/08/2022,Hertha,Dortmund,1.5,2.62
27/08/2022,Hoffenheim,Augsburg,1.5,2.62
27/08/2022,Mainz,Leverkusen,1.61,2.3
27/08/2022,RB Leipzig,Wolfsburg,1.57,2.37
27/08/2022,Schalke 04,Union Berlin,1.96,1.94
27/08/2022,Bayern Munich,M'gladbach,1.2,4.5
28/08/2022,FC Koln,Stuttgart,1.66,2.2
28/08/2022,Werder Bremen,Ein Frankfurt,1.61,2.3
02/09/2022,Dortmund,Hoffenheim,1.4,3.0
03/09/2022,Bochum,Werder Bremen,1.66,2.2
03/09/2022,Leverkusen,Freiburg,1.57,2.37
03/09/2022,Stuttgart,Schalke 04,1.72,2.1
03/09/2022,Union Berlin,Bayern Munich,1.4,3.0
03/09/2022,Wolfsburg,FC Koln,1.8,2.0
03/09/2022,Ein Frankfurt,RB Leipzig,1.61,2.3
04/09/2022,Augsburg,Hertha,1.89,2.01
04/09/2022,M'gladbach,Mainz,1.66,2.2
09/09/2022,Werder Bremen,Augsburg,1.57,2.37
10/09/2022,Bayern Munich,Stuttgart,1.22,4.33
10/09/2022,Ein Frankfurt,Wolfsburg,1.66,2.2
10/09/2022,Hertha,Leverkusen,1.53,2.5
10/09/2022,Hoffenheim,Mainz,1.66,2.2
10/09/2022,RB Leipzig,Dortmund,1.57,2.37
10/09/2022,Schalke 04,Bochum,1.72,2.1
11/09/2022,FC Koln,Union Berlin,1.94,1.96
11/09/2022,Freiburg,M'gladbach,1.57,2.37
16/09/2022,Mainz,Hertha,1.72,2.1
17/09/2022,Augsburg,Bayern Munich,1.28,3.75
17/09/2022,Dortmund,Schalke 04,1.44,2.75
17/09/2022,Leverkusen,Werder Bremen,1.5,2.62
17/09/2022,Stuttgart,Ein Frankfurt,1.66,2.2
17/09/2022,M'gladbach,RB Leipzig,1.57,2.37
18/09/2022,Union Berlin,Wolfsburg,2.03,1.87
18/09/2022,Bochum,FC Koln,1.72,2.1
18/09/2022,Hoffenheim,Freiburg,1.57,2.37
30/09/2022,Bayern Munich,Leverkusen,1.3,3.5
01/10/2022,Ein Frankfurt,Union Berlin,1.99,1.91
01/10/2022,FC Koln,Dortmund,1.57,2.37
01/10/2022,Freiburg,Mainz,1.92,1.98
01/10/2022,RB Leipzig,Bochum,1.44,2.75
01/10/2022,Wolfsburg,Stuttgart,1.99,1.91
01/10/2022,Werder Bremen,M'gladbach,1.57,2.37
02/10/2022,Hertha,Hoffenheim,1.57,2.37
02/10/2022,Schalke 04,Augsburg,1.8,2.0
07/10/2022,Hoffenheim,Werder Bremen,1.57,2.37
08/10/2022,Augsburg,Wolfsburg,1.97,1.93
08/10/2022,Bochum,Ein Frankfurt,1.66,2.2
08/10/2022,Leverkusen,Schalke 04,1.5,2.62
08/10/2022,Mainz,RB Leipzig,1.72,2.1
08/10/2022,Dortmund,Bayern Munich,1.36,3.2
09/10/2022,M'gladbach,FC Koln,1.61,2.3
09/10/2022,Hertha,Freiburg,1.91,1.99
09/10/2022,Stuttgart,Union Berlin,2.1,1.72
14/10/2022,Schalke 04,Hoffenheim,1.66,2.2
15/10/2022,Ein Frankfurt,Leverkusen,1.61,2.3
15/10/2022,Stuttgart,Bochum,1.8,2.0
15/10/2022,Werder Bremen,Mainz,1.72,2.1
15/10/2022,Wolfsburg,M'gladbach,1.66,2.2
15/10/2022,RB Leipzig,Hertha,1.53,2.5
16/10/2022,FC Koln,Augsburg,1.61,2.3
16/10/2022,Union Berlin,Dortmund,1.97,1.93
16/10/2022,Bayern Munich,Freiburg,1.36,3.2
21/10/2022,Mainz,FC Koln,1.72,2.1
22/10/2022,Augsburg,RB Leipzig,1.57,2.37
22/10/2022,Dortmund,Stuttgart,1.57,2.37
22/10/2022,Freiburg,Werder Bremen,1.66,2.2
22/10/2022,Hoffenheim,Bayern Munich,1.33,3.4
22/10/2022,Leverkusen,Wolfsburg,1.57,2.37
22/10/2022,M'gladbach,Ein Frankfurt,1.61,2.3
23/10/2022,Bochum,Union Berlin,2.1,1.72
23/10/2022,Hertha,Schalke 04,1.72,2.1
28/10/2022,Werder Bremen,Hertha,1.57,2.37
29/10/2022,Bayern Munich,Mainz,1.33,3.4
29/10/2022,RB Leipzig,Leverkusen,1.53,2.5
29/10/2022,Stuttgart,Augsburg,1.72,2.1
29/10/2022,Wolfsburg,Bochum,1.72,2.1
29/10/2022,Ein Frankfurt,Dortmund,1.61,2.3
30/10/2022,Union Berlin,M'gladbach,1.9,2.0
30/10/2022,Schalke 04,Freiburg,1.72,2.1
30/10/2022,FC Koln,Hoffenheim,1.57,2.37
04/11/2022,M'gladbach,Stuttgart,1.57,2.37
05/11/2022,Augsburg,Ein Frankfurt,1.57,2.37
05/11/2022,Dortmund,Bochum,1.4,3.0
05/11/2022,Hertha,Bayern Munich,1.3,3.5
05/11/2022,Hoffenheim,RB Leipzig,1.66,2.2
05/11/2022,Mainz,Wolfsburg,1.87,2.03
05/11/2022,Werder Bremen,Schalke 04,1.61,2.3
06/11/2022,Leverkusen,Union Berlin,2.0,1.9
06/11/2022,Freiburg,FC Koln,1.72,2.1
08/11/2022,Wolfsburg,Dortmund,1.72,2.1
08/11/2022,Bayern Munich,Werder Bremen,1.22,4.33
08/11/2022,Bochum,M'gladbach,1.72,2.1
08/11/2022,Stuttgart,Hertha,1.72,2.1
09/11/2022,FC Koln,Leverkusen,1.66,2.2
09/11/2022,Ein Frankfurt,Hoffenheim,1.57,2.37
09/11/2022,RB Leipzig,Freiburg,1.66,2.2
09/11/2022,Schalke 04,Mainz,1.72,2.1
09/11/2022,Union Berlin,Augsburg,1.87,2.03
11/11/2022,M'gladbach,Dortmund,1.57,2.37
12/11/2022,Augsburg,Bochum,1.72,2.1
12/11/2022,Hertha,FC Koln,1.72,2.1
12/11/2022,Hoffenheim,Wolfsburg,1.66,2.2
12/11/2022,Leverkusen,Stuttgart,1.57,2.37
12/11/2022,Werder Bremen,RB Leipzig,1.57,2.37
12/11/2022,Schalke 04,Bayern Munich,1.28,3.75
13/11/2022,Mainz,Ein Frankfurt,1.72,2.1
13/11/2022,Freiburg,Union Berlin,2.2,1.66
20/01/2023,RB Leipzig,Bayern Munich,1.5,2.63
21/01/2023,Bochum,Hertha,1.86,2.04
21/01/2023,Ein Frankfurt,Schalke 04,1.53,2.5
21/01/2023,Stuttgart,Mainz,1.86,2.04
21/01/2023,Union Berlin,Hoffenheim,1.97,1.93
21/01/2023,Wolfsburg,Freiburg,1.96,1.94
21/01/2023,FC Koln,Werder Bremen,1.62,2.3
22/01/2023,Dortmund,Augsburg,1.36,3.2
22/01/2023,M'gladbach,Leverkusen,1.57,2.38
24/01/2023,Schalke 04,RB Leipzig,1.67,2.2
24/01/2023,Bayern Munich,FC Koln,1.29,3.75
24/01/2023,Hertha,Wolfsburg,1.94,1.96
24/01/2023,Hoffenheim,Stuttgart,1.73,2.1
25/01/2023,Mainz,Dortmund,1.67,2.2
25/01/2023,Augsburg,M'gladbach,1.62,2.3
25/01/2023,Freiburg,Ein Frankfurt,1.8,2.0
25/01/2023,Leverkusen,Bochum,1.62,2.3
25/01/2023,Werder Bremen,Union Berlin,2.1,1.73
27/01/2023,RB Leipzig,Stuttgart,1.53,2.5
28/01/2023,Freiburg,Augsburg,1.67,2.2
28/01/2023,Hertha,Union Berlin,2.2,1.67
28/01/2023,Hoffenheim,M'gladbach,1.5,2.63
28/01/2023,Mainz,Bochum,1.8,2.0
28/01/2023,Werder Bremen,Wolfsburg,1.73,2.1
28/01/2023,Bayern Munich,Ein Frankfurt,1.3,3.5
29/01/2023,Schalke 04,FC Koln,1.8,2.0
29/01/2023,Leverkusen,Dortmund,1.53,2.5
03/02/2023,Augsburg,Leverkusen,1.67,2.2
04/02/2023,Bochum,Hoffenheim,1.67,2.2
04/02/2023,Dortmund,Freiburg,1.67,2.2
04/02/2023,Ein Frankfurt,Hertha,1.62,2.3
04/02/2023,FC Koln,RB Leipzig,1.73,2.1
04/02/2023,Union Berlin,Mainz,2.2,1.67
04/02/2023,M'gladbach,Schalke 04,1.57,2.38
05/02/2023,Stuttgart,Werder Bremen,1.67,2.2
05/02/2023,Wolfsburg,Bayern Munich,1.44,2.75
10/02/2023,Schalke 04,Wolfsburg,1.87,2.03
11/02/2023,Bayern Munich,Bochum,1.25,4.0
11/02/2023,Freiburg,Stuttgart,1.96,1.94
11/02/2023,Hoffenheim,Leverkusen,1.67,2.2
