market,n,hit,hit_rate,profit,roi,avg_odds,max_dd,top3_wins,profit_ex_top3,roi_ex_top3,seasons,n_seasons,leagues,n_leagues,pattern,odds_band,reject
Draw,49,12,24.5,37.75,77.0,6.7,-7.0,26.0,11.75,24.0,"[2021, 2022, 2023, 2024, 2025]",5,"['Eredivisie', 'La Liga', 'Bundesliga', 'Premier League', 'Ligue 1', 'Serie A', 'MLS']",7,both_strong,D_5.50+,n=49<50
Draw,558,150,26.9,61.01,10.9,4.11,-24.81,26.0,35.01,6.3,"[2021, 2022, 2023, 2024, 2025]",5,"['La Liga', 'Eredivisie', 'Bundesliga', 'Serie A', 'Premier League', 'Ligue 1', '2. Bundesliga', 'MLS']",8,both_strong,D_any,
Away_win,46,27,58.7,-4.65,-10.1,1.54,-11.39,2.25,-6.9,-15.0,"[2021, 2022, 2023, 2024, 2025]",5,"['Eredivisie', 'Bundesliga', 'Premier League', '2. Bundesliga', 'Serie A', 'Ligue 1', 'La Liga']",7,both_strong,A_1.30-1.80,n=46<50
Away_win,100,44,44.0,-8.26,-8.3,2.13,-11.61,4.3,-12.56,-12.6,"[2021, 2022, 2023, 2024, 2025]",5,"['La Liga', 'Serie A', 'Premier League', 'Eredivisie', '2. Bundesliga', 'Bundesliga', 'Ligue 1', 'MLS']",8,both_strong,A_1.80-2.50,ROI=-8.3%<=0
Away_win,190,60,31.6,-5.36,-2.8,3.14,-27.03,8.65,-14.01,-7.4,"[2021, 2022, 2023, 2024, 2025]",5,"['Serie A', 'Premier League', '2. Bundesliga', 'Bundesliga', 'Eredivisie', 'La Liga', 'Ligue 1', 'MLS']",8,both_strong,A_2.50-4.00,ROI=-2.8%<=0
Away_win,219,41,18.7,18.9,8.6,6.66,-27.0,33.0,-14.1,-6.4,"[2021, 2022, 2023, 2024, 2025]",5,"['Bundesliga', 'Ligue 1', 'Premier League', 'Eredivisie', 'La Liga', '2. Bundesliga', 'Serie A', 'MLS']",8,both_strong,A_4.00+,profit_ex_top3<=0
Away_win,558,175,31.4,1.38,0.2,4.2,-45.16,33.0,-31.62,-5.7,"[2021, 2022, 2023, 2024, 2025]",5,"['La Liga', 'Eredivisie', 'Bundesliga', 'Serie A', 'Premier League', 'Ligue 1', '2. Bundesliga', 'MLS']",8,both_strong,A_any,profit_ex_top3<=0
Over25,558,317,56.8,37.96,6.8,1.88,-14.04,2.64,35.32,6.3,"[2021, 2022, 2023, 2024, 2025]",5,"['La Liga', 'Eredivisie', 'Bundesliga', 'Serie A', 'Premier League', 'Ligue 1', '2. Bundesliga', 'MLS']",8,both_strong,any,
Over35,558,192,34.4,-58.8,-10.5,2.6,-67.6,4.8,-63.6,-11.4,"[2021, 2022, 2023, 2024, 2025]",5,"['La Liga', 'Eredivisie', 'Bundesliga', 'Serie A', 'Premier League', 'Ligue 1', '2. Bundesliga', 'MLS']",8,both_strong,any,ROI=-10.5%<=0
BTTS,558,329,59.0,27.62,4.9,1.78,-21.8,2.34,25.28,4.5,"[2021, 2022, 2023, 2024, 2025]",5,"['La Liga', 'Eredivisie', 'Bundesliga', 'Serie A', 'Premier League', 'Ligue 1', '2. Bundesliga', 'MLS']",8,both_strong,any,
Home_win,291,196,67.4,-10.94,-3.8,1.43,-20.06,1.71,-12.65,-4.3,"[2021, 2022, 2023, 2024, 2025]",5,"['Ligue 1', 'Premier League', 'La Liga', 'Bundesliga', 'Serie A', '2. Bundesliga', 'Eredivisie', 'MLS']",8,home_dominant,H_1.30-1.60,ROI=-3.8%<=0
